,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.6973096282818867e-17,2.277967284753293e-12,9.209431628734512e-15,8.334259523323307e-16
2017-01-01,2.814451198096562e-17,2.391477848958179e-12,9.544097561803788e-15,8.631978703345741e-16
2018-01-01,2.92413981553288e-17,2.5051289607266957e-12,9.871489678867396e-15,8.922617764457273e-16
2019-01-01,3.0269226756731773e-17,2.6188629311527605e-12,1.019153311060331e-14,9.206143638321009e-16
2020-01-01,3.1233469735997925e-17,2.7326220713302933e-12,1.0504152987689513e-14,9.482523256600052e-16
2021-01-01,3.2139599043950646e-17,2.8463486923532095e-12,1.080927444080398e-14,9.751723550957506e-16
2022-01-01,3.2993086631413305e-17,2.959985105315428e-12,1.1106822600624685e-14,1.0013711453056467e-15
2023-01-01,3.379940444920929e-17,3.073473621310867e-12,1.1396722597829608e-14,1.0268453894560042e-15
2024-01-01,3.4564024448161984e-17,3.1867565514334447e-12,1.1678899563096729e-14,1.0515917807131337e-15
2025-01-01,3.529241857909477e-17,3.299776206777078e-12,1.1953278627104021e-14,1.0756070122433448e-15
2026-01-01,3.5990058792831014e-17,3.4124748984356854e-12,1.2219784920529463e-14,1.0988877772129483e-15
2027-01-01,3.666241704019412e-17,3.5247949375031855e-12,1.2478343574051035e-14,1.1214307687882546e-15
2028-01-01,3.731496527200745e-17,3.636678635073495e-12,1.272887971834671e-14,1.1432326801355734e-15
2029-01-01,3.79531754390944e-17,3.748068302240533e-12,1.297131848409447e-14,1.1642902044212157e-15
2030-01-01,3.858251949227834e-17,3.858906250098215e-12,1.3205585001972287e-14,1.184600034811491e-15
2031-01-01,3.9206971544523354e-17,3.969129333370441e-12,1.3431657898502162e-14,1.2041630148424922e-15
2032-01-01,3.9824514357356325e-17,4.0786525813010246e-12,1.3649729783582155e-14,1.2229965895294401e-15
2033-01-01,4.043163285444481e-17,4.1873855667637605e-12,1.3860046762954355e-14,1.2411223542573379e-15
2034-01-01,4.1024811959456375e-17,4.2952378626324395e-12,1.406285494236084e-14,1.2585619044111878e-15
2035-01-01,4.160053659605863e-17,4.402119041780859e-12,1.4258400427543705e-14,1.2753368353759947e-15
2036-01-01,4.2155291687919104e-17,4.5079386770828124e-12,1.4446929324245026e-14,1.29146874253676e-15
2037-01-01,4.268556215870538e-17,4.61260634141209e-12,1.462868773820688e-14,1.3069792212784869e-15
2038-01-01,4.318783293208504e-17,4.7160316076424874e-12,1.4803921775171365e-14,1.3218898669861789e-15
2039-01-01,4.365858893172565e-17,4.818124048647801e-12,1.497287754088056e-14,1.3362222750448389e-15
2040-01-01,4.4094315081294783e-17,4.918793237301822e-12,1.5135801141076544e-14,1.3499980408394699e-15
2041-01-01,4.4493513519772084e-17,5.017981305817311e-12,1.5292923779115675e-14,1.3632377254738118e-15
2042-01-01,4.486275524738546e-17,5.115760623762887e-12,1.544441704881137e-14,1.37595775292655e-15
2043-01-01,4.521062847967493e-17,5.212236120046139e-12,1.559043764159133e-14,1.3881735128951075e-15
2044-01-01,4.554572143218043e-17,5.3075127235746485e-12,1.5731142248883232e-14,1.3999003950769053e-15
2045-01-01,4.587662232044198e-17,5.401695363256004e-12,1.5866687562114775e-14,1.4111537891693663e-15
2046-01-01,4.6211919359999584e-17,5.494888967997793e-12,1.5997230272713643e-14,1.4219490848699132e-15
2047-01-01,4.65602007663932e-17,5.5871984667076e-12,1.6122927072107537e-14,1.4323016718759683e-15
2048-01-01,4.6930054755162826e-17,5.67872878829301e-12,1.6243934651724133e-14,1.4422269398849527e-15
2049-01-01,4.7330069541848466e-17,5.7695848616616126e-12,1.636040970299114e-14,1.4517402785942904e-15
2050-01-01,4.7768833341990094e-17,5.859871615720991e-12,1.6472508917336242e-14,1.4608570777014025e-15
2051-01-01,4.825203793217387e-17,5.9496942890859035e-12,1.6580461355650198e-14,1.4695990976404281e-15
2052-01-01,4.8773789333170623e-17,6.039159359199793e-12,1.66847855566761e-14,1.478013581792369e-15
2053-01-01,4.9325297126797364e-17,6.128373613213276e-12,1.6786072428620114e-14,1.4861541442749443e-15
2054-01-01,4.9897770894871055e-17,6.2174438382769645e-12,1.688491287968838e-14,1.4940743992058721e-15
2055-01-01,5.048242021920872e-17,6.306476821541473e-12,1.6981897818087075e-14,1.5018279607028717e-15
2056-01-01,5.107045468162735e-17,6.395579350157419e-12,1.7077618152022355e-14,1.5094684428836607e-15
2057-01-01,5.165308386394394e-17,6.484858211275416e-12,1.7172664789700374e-14,1.517049459865958e-15
2058-01-01,5.2221517347975483e-17,6.574420192046076e-12,1.7267628639327297e-14,1.524624625767482e-15
2059-01-01,5.2766964715538985e-17,6.6643720796200176e-12,1.7363100609109288e-14,1.5322475547059517e-15
2060-01-01,5.3280635548451436e-17,6.754820661147853e-12,1.74596716072525e-14,1.5399718607990854e-15
2061-01-01,5.37559588431762e-17,6.845890981194615e-12,1.7557816108394807e-14,1.547839952541494e-15
2062-01-01,5.419524125476208e-17,6.937781113982996e-12,1.765754285290088e-14,1.5558494159353574e-15
2063-01-01,5.4603008852904246e-17,7.030707391150111e-12,1.775874414756712e-14,1.5639866313597475e-15
2064-01-01,5.498378770729785e-17,7.124886144333064e-12,1.7861312299189902e-14,1.5722379791937363e-15
2065-01-01,5.5342103887638066e-17,7.220533705168969e-12,1.796513961456562e-14,1.5805898398163957e-15
2066-01-01,5.568248346362007e-17,7.317866405294938e-12,1.807011840049066e-14,1.5890285936067988e-15
2067-01-01,5.600945250493902e-17,7.417100576348081e-12,1.8176140963761407e-14,1.5975406209440168e-15
2068-01-01,5.632753708129007e-17,7.518452549965504e-12,1.8283099611174252e-14,1.6061123022071215e-15
2069-01-01,5.66412632623684e-17,7.622138657784326e-12,1.8390886649525583e-14,1.614730017775186e-15
2070-01-01,5.69551571178692e-17,7.728375231441653e-12,1.8499394385611788e-14,1.6233801480272819e-15
2071-01-01,5.727327534969328e-17,7.837147266763974e-12,1.8608407984353018e-14,1.6320434375626876e-15
2072-01-01,5.759779718856425e-17,7.947514416335283e-12,1.871728404316451e-14,1.6406780878615042e-15
2073-01-01,5.793043249741136e-17,8.058304996928951e-12,1.8825272017585262e-14,1.6492366646240397e-15
2074-01-01,5.827289113916391e-17,8.168347325318357e-12,1.8931621363154272e-14,1.6576717335506019e-15
2075-01-01,5.862688297675112e-17,8.276469718276863e-12,1.903558153541053e-14,1.6659358603414979e-15
2076-01-01,5.899411787310229e-17,8.381500492577849e-12,1.913640198989305e-14,1.673981610697036e-15
2077-01-01,5.937630569114668e-17,8.482267964994684e-12,1.9233332182140827e-14,1.6817615503175239e-15
2078-01-01,5.977515629381355e-17,8.57760045230074e-12,1.9325621567692852e-14,1.6892282449032685e-15
2079-01-01,6.01923795440322e-17,8.666326271269393e-12,1.9412519602088137e-14,1.6963342601545786e-15
2080-01-01,6.062968530473186e-17,8.74727373867401e-12,1.9493275740865672e-14,1.703032161771761e-15
2081-01-01,6.10884414622855e-17,8.819617055856972e-12,1.9567377563989024e-14,1.7092896832591602e-15
2082-01-01,6.15686479968408e-17,8.88391396243665e-12,1.9635265149120005e-14,1.7151352293372675e-15
2083-01-01,6.206996291198905e-17,8.941068082600427e-12,1.9697616698344977e-14,1.7206123725306085e-15
2084-01-01,6.259204421132164e-17,8.991983040535683e-12,1.9755110413750328e-14,1.7257646853637112e-15
2085-01-01,6.31345498984299e-17,9.037562460429796e-12,1.9808424497422428e-14,1.730635740361103e-15
2086-01-01,6.369713797690518e-17,9.078709966470151e-12,1.9858237151447655e-14,1.7352691100473114e-15
2087-01-01,6.427946645033885e-17,9.116329182844123e-12,1.9905226577912382e-14,1.7397083669468629e-15
2088-01-01,6.48811933223222e-17,9.151323733739095e-12,1.9950070978902978e-14,1.7439970835842845e-15
2089-01-01,6.55019765964466e-17,9.184597243342444e-12,1.999344855650582e-14,1.7481788324841034e-15
2090-01-01,6.61414742763034e-17,9.217053335841552e-12,2.0036037512807282e-14,1.7522971861708473e-15
2091-01-01,6.679934436548396e-17,9.249595635423801e-12,2.007851604989375e-14,1.7563957171690432e-15
2092-01-01,6.747524486757961e-17,9.283127766276569e-12,2.0121562369851582e-14,1.7605179980032183e-15
2093-01-01,6.816883378618164e-17,9.318553352587229e-12,2.016585467476715e-14,1.7647076011978986e-15
2094-01-01,6.887976912488151e-17,9.356776018543175e-12,2.0212071166726856e-14,1.7690080992776135e-15
2095-01-01,6.960770888727045e-17,9.398699388331776e-12,2.026089004781704e-14,1.7734630647668885e-15
2096-01-01,7.035231107693987e-17,9.445227086140416e-12,2.0312989520124096e-14,1.778116070190251e-15
2097-01-01,7.111323369748112e-17,9.497262736156474e-12,2.0369047785734397e-14,1.7830106880722287e-15
2098-01-01,7.18901347524855e-17,9.55570996256733e-12,2.0429743046734307e-14,1.7881904909373477e-15
2099-01-01,7.268267224554438e-17,9.621472389560367e-12,2.0495753505210217e-14,1.7936990513101368e-15
2100-01-01,7.349050418024912e-17,9.69545364132296e-12,2.0567757363248486e-14,1.7995799417151216e-15
